CustID,Age,Province,Years,CreditLimit,Payment,Min_payment,Ndefault,Balance,Balance_Freq,N_purchases,LastPurchase,MaxPurchase,Inst_purchase,Advance,Count_Advance_Tx,Purchase_Freq,Installment_Freq,Advance_Freq,Pct_full_payment
75,47,,6,170000,316984.1902,14485.85054,0,44193.0294,1,122,125519.5,109012.4,16507.1,89379.24306,1,1,0.5,19,0.416667
77,29,Rayong,6,170000,41314.95556,29594.46172,0,123583.2132,1,7,4211.5,0,4211.5,34141.01345,0.583333,0.583333,0.583333,11,0
78,31,Rayong,7,170000,171946.2756,9686.03795,0,14633.02373,0.272727,0,0,0,0,3516.17544,0,0,0.083333,1,0.25
79,35,Nakornratchasima,6,170000,175752.0083,24654.65414,0,81519.85277,1,56,256150.7,251227.7,4923,0,1,0.583333,0,0,0.166667
80,37,Bangkok,7,170000,89464.95566,1537.82546,0,4051.62601,0.545455,0,0,0,0,28075.87441,0,0,0.25,8,0.75
81,51,Chaingmai,6,170000,12308.06488,11826.50916,0,52362.90986,1,93,17807.9,10806.5,7001.4,3947.63478,1,1,0.166667,5,0
82,25,Nakornratchasima,6,170000,130023.0393,27465.92199,1,87000.79439,1,204,204215.9,168645.6,35570.3,0,1,1,0,0,0.083333
83,29,Bangkok,7,165000,12752.29436,1713.57189,0,1349.17202,1,22,12478,12478,0,0,1,0,0,0,1
84,50,Chaingmai,7,165000,13822.69127,17552.53802,1,54628.97068,1,18,14533.2,0,14533.2,0,0.5,0.5,0,0,0
85,48,Rayong,7,165000,120053.074,10555.47896,0,52657.63713,1,21,4102.4,447.1,3655.3,92717.86548,0.916667,0.916667,0.333333,13,0.083333
86,74,Nakornratchasima,7,165000,245292.7662,5340.32339,0,26433.43414,1,114,264023.9,222573.9,41450,0,1,0.333333,0,0,1
87,20,Bangkok,6,165000,7584.21856,1630.44353,0,434.2718,1,19,5693.4,0,5693.4,0,1,1,0,0,1
88,42,Chaingmai,7,165000,49249.41312,1822.88774,0,5314.55619,1,21,63004,63004,0,0,0.833333,0,0,0,1
89,32,Phuket,6,165000,72729.99505,4451.31364,0,17599.69888,1,92,59693.3,37552.4,22140.9,10662.13552,1,1,0.25,4,0.25
90,35,Chaingmai,7,165000,40283.80624,1791.9571,0,3176.57562,1,47,43983.5,43983.5,0,0,0.916667,0,0,0,0.916667
92,26,Bangkok,7,165000,44745.71671,1386.74322,0,1488.26903,0.727273,16,33865.8,33865.8,0,284.967834,0.583333,0,0.083333,1,1
93,28,Chaingmai,6,165000,4107.98862,2090.45742,0,239.56905,0.636364,7,1860.5,1860.5,0,0,0.416667,0,0,0,1
94,61,Rayong,6,165000,152461.1594,2957.79348,0,13674.79599,0.818182,9,123750,0,123750,0,0.75,0.75,0,0,1
95,49,Bangkok,7,165000,60835.11913,2894.74616,1,9166.3778,1,89,46278,27423.9,18854.1,0,1,1,0,0,0.083333
96,68,Rayong,6,165000,39067.38592,33795.93046,0,155323.3972,1,11,11687.5,0,11687.5,19098.22575,0.916667,0.916667,0.25,5,0
97,48,Chaingmai,6,165000,49624.61845,1757.13135,0,5129.46312,1,46,43918.7,39433.7,4485,2534.979372,1,0.666667,0.166667,2,0.916667
98,28,Bangkok,6,165000,12753.98838,1779.70856,0,2970.04363,1,14,27290,14090,13200,0,1,1,0,0,0.25
99,32,Chaingmai,6,165000,10826.59906,1034.25559,0,879.08147,0.545455,5,8951.1,8951.1,0,0,0.25,0,0,0,0
100,59,Nakornratchasima,6,165000,214402.9866,13508.23356,0,67448.45686,1,3,44.4,0,44.4,119177.2706,0.25,0.166667,0.416667,11,0.1
101,30,Rayong,6,165000,136602.412,10569.12965,1,41999.89868,1,84,116531.4,68846,47685.4,0,0.916667,0.916667,0,0,0
102,85,,6,165000,204183.3238,212350.653,1,141002.511,1,34,49958,34031.1,15926.9,124276.0205,1,0.333333,0.833333,36,0
103,51,Bangkok,6,165000,48020.04681,2343.03131,0,1368.39366,0.636364,4,11335.4,11335.4,0,0,0.25,0,0,0,0.428571
104,23,Chaingmai,7,165000,8366.90499,2059.07225,1,441.92011,0.454545,2,3560,3560,0,0,0.166667,0,0,0,0
105,39,Chaingmai,6,165000,28375.99645,2380.75524,0,3371.78513,1,16,38097.1,38097.1,0,0,1,0,0,0,0.916667
106,40,Nakornratchasima,6,165000,18868.71621,1504.95102,0,1495.9894,1,23,20096.4,2060,18036.4,0,1,1,0,0,0.636364
107,32,Bangkok,7,165000,25484.94077,3883.63232,0,7873.41687,1,30,27326.6,25484.7,1841.9,0,1,0.416667,0,0,0.166667
108,30,Chaingmai,7,165000,45559.65464,2110.4268,1,1154.67669,0.545455,2,3540,3540,0,0,0.166667,0,0,0,0
109,21,Phuket,6,165000,74552.96139,2326.94923,0,7823.92041,1,59,81689,30009.7,51679.3,0,1,1,0,0,0.916667
110,42,Phuket,6,165000,25479.23816,16023.70029,0,48369.14446,1,2,3056,3056,0,0,0.166667,0,0,0,0
111,33,Chaingmai,7,165000,19210.42991,1258.95667,0,1693.43874,0.818182,8,15538,15538,0,0,0.5,0,0,0,0.8
112,22,Rayong,6,160000,103773.612,23729.7281,0,87818.31676,1,93,116746.4,94009.6,22736.8,0,1,0.916667,0,0,0
113,30,Bangkok,6,160000,5638.30183,1085.79632,0,795.54406,0.636364,1,4727.1,4727.1,0,0,0.083333,0,0,0,0
114,20,Rayong,6,160000,71165.31862,21171.86083,0,77605.254,1,152,143329.2,105889.7,37439.5,0,1,0.909091,0,0,0
115,41,Bangkok,7,160000,23220.58763,18310.24986,1,78112.34174,1,0,0,0,0,38232.65564,0,0,0.333333,8,0
116,32,Chaingmai,5,160000,32138.48412,768.06928,0,1739.40108,0.5,6,9585,9585,0,2429.948778,0.3,0,0.1,2,1
117,40,Bangkok,6,160000,68503.28106,2001.69985,0,5412.40795,1,97,59999.5,41045.8,18953.7,0,1,1,0,0,1
118,41,Chaingmai,6,160000,36298.36534,1944.60262,0,2727.004,1,33,32985.5,25205.5,7780,0,0.833333,0.166667,0,0,0.75
119,23,Chaingmai,6,160000,23269.97535,1740.61253,0,850.53515,1,20,12447,10189.8,2257.2,6441.844932,1,0.583333,0.083333,1,0.833333
120,29,Bangkok,6,160000,22592.41805,1831.38427,1,4672.44925,1,109,40017,17693.6,22323.4,0,1,1,0,0,0.181818
121,73,Nakornratchasima,6,160000,170689.6724,66879.65212,0,66684.40979,1,110,55961.1,28809.1,27152,16741.90366,1,1,0.166667,14,0.083333
122,34,Bangkok,7,160000,6994.66354,1674.03184,0,1011.76482,1,11,8076.6,3250,4826.6,0,0.916667,0.666667,0,0,0.583333
123,27,Bangkok,7,160000,0,0,0,70.66111,0.181818,2,1331.6,0,1331.6,0,0.166667,0.083333,0,0,0
124,46,Bangkok,7,160000,17700.52426,1907.54221,0,1662.58538,0.909091,14,13773.1,8273.5,5499.6,803.273016,1,1,0.083333,1,0.090909
125,44,Bangkok,7,160000,866.60547,901.67861,0,309.3853,0.909091,10,2328.9,0,2328.9,0,0.416667,0.333333,0,0,0.1
126,29,Bangkok,6,160000,30079.4197,8070.08705,0,30076.64861,1,21,5342.6,3655.1,1687.5,0,0.833333,0.75,0,0,0
127,49,Phuket,6,160000,22094.10409,13855.61503,0,65378.52206,0.909091,26,25985.1,24225.5,1759.6,0,0.272727,0.272727,0,0,0
128,54,Rayong,6,155000,144626.3056,3407.17801,0,14822.35539,1,219,146048.7,24759.3,121289.4,0,1,1,0,0,1
130,31,,6,155000,281509.7869,73216.39932,0,88232.84205,1,61,37190,22931.8,14258.2,175692.6549,1,1,0.416667,26,0.083333
131,38,Phuket,6,155000,22843.90267,19703.52152,0,76383.82236,1,0,0,0,0,8434.657524,0,0,0.083333,4,0
132,39,Bangkok,6,155000,0,0,0,10.19189,0.090909,1,870.2,0,870.2,0,0.083333,0.083333,0,0,0
133,29,Chaingmai,6,155000,11987.90549,1943.62209,0,8413.98158,1,16,8602,2643.5,5958.5,0,0.75,0.666667,0,0,0
134,27,Bangkok,6,155000,17343.49114,13228.68997,0,51934.15429,1,52,35848,22045.2,13802.8,0,1,1,0,0,0
135,24,Phuket,6,155000,27400.9442,26210.71099,0,108220.5811,1,208,48503.5,28478,20025.5,0,1,1,0,0,0
136,51,Bangkok,6,155000,36242.31423,48044.30447,0,117342.6656,1,38,15281.2,0,15281.2,31123.55135,1,0.916667,0.583333,13,0
137,24,Rayong,7,155000,124873.6815,20749.00111,0,55988.64288,1,69,71945.3,66782.6,5162.7,85205.35878,1,1,0.833333,37,0.083333
138,22,Bangkok,6,155000,318.45894,220.81988,0,10.59425,0.363636,4,239.1,239.1,0,0,0.333333,0,0,0,0.111111
139,37,Bangkok,6,155000,27040.76105,25805.56298,0,114166.4736,1,9,13477,0,13477,0,0.583333,0.583333,0,0,0
140,25,Bangkok,6,155000,38754.19446,3272.17973,1,10015.43878,1,49,25771,7201,18570,13448.56739,1,0.666667,0.416667,7,0.090909
141,50,Phuket,6,155000,36957.44108,27943.73573,0,84779.70766,1,36,48378.8,29455,18923.8,1734.706818,1,0.916667,0.083333,1,0
142,47,Chaingmai,6,155000,8997.12442,7733.02151,0,35417.69505,1,0,0,0,0,13429.97256,0,0,0.416667,10,0
143,41,Bangkok,7,150000,47566.54374,2418.94073,0,5956.77343,1,42,50781.4,43305.3,7476.1,8546.655612,0.916667,0.75,0.083333,1,0.916667
144,25,,6,150000,10435.5929,1824.29461,0,1302.51538,0.909091,33,13431.9,10827.9,2604,0,1,0.583333,0,0,0.545455
145,44,Bangkok,6,150000,6116.06459,1629.4308,0,532.08422,1,14,4981.7,4590.2,391.5,0,0.916667,0.083333,0,0,0.909091
146,32,Phuket,6,150000,18852.39981,49801.92685,0,93353.1417,1,5,2262.3,2262.3,0,0,0.166667,0,0,0,0
147,41,Bangkok,7,150000,5388.41222,413.02445,0,518.18382,0.454545,6,9033.6,9033.6,0,0,0.25,0,0,0,0
148,37,Bangkok,7,150000,11945.10762,12062.57247,0,96010.71318,1,5,2383.4,0,2383.4,28854.7173,0.833333,0.833333,1,8,0
149,36,Bangkok,7,150000,8267.64555,2120.75152,0,2858.13075,1,24,32200.9,29413.9,2787,0,1,0.416667,0,0,1
150,38,Chaingmai,6,150000,75212.26078,3194.37528,0,9505.63525,0.909091,14,74799.5,74799.5,0,0,0.818182,0,0,0,0.888889
151,55,Rayong,6,150000,140839.6809,14429.33291,0,45467.66836,1,66,35253.7,0,35253.7,0,1,1,0,0,0.25
152,35,Bangkok,6,150000,0,0,0,118.90862,0.090909,1,1650,1650,0,0,0.083333,0,0,0,0
153,41,Chaingmai,6,150000,24196.51857,1825.27745,0,3133.87813,1,37,36088.8,21247.5,14841.3,0,1,0.75,0,0,1
154,55,Rayong,6,150000,78397.50264,80967.9502,0,144119.5798,1,98,59581.7,31614.6,27967.1,0,1,1,0,0,0
155,55,Phuket,6,150000,24940.33369,26429.37347,0,110833.2542,1,10,21267,20267,1000,9733.31673,0.5,0.416667,0.5,7,0
156,48,Bangkok,6,150000,33193.25665,6491.54698,1,29203.92514,1,59,26737.3,12216,14521.3,33441.05636,1,1,0.5,13,0
157,20,Bangkok,6,150000,16989.58527,21378.93656,1,81591.68439,1,42,24530.7,18455.5,6075.2,19670.76719,1,1,0.25,3,0
158,52,Phuket,6,150000,137335.5783,3368.23302,0,19174.41126,0.909091,5,126171.9,761.9,125410,0,0.333333,0.166667,0,0,0.428571
159,44,Bangkok,6,150000,113816.3396,2992.49818,0,9123.6003,1,49,107091.7,96893.6,10198.1,0,1,1,0,0,1
160,28,Nakornratchasima,6,150000,47115.67357,13087.59437,0,57742.07136,1,37,21025.1,7216.7,13808.4,21217.92241,0.916667,0.916667,0.083333,7,0
161,54,Phuket,6,150000,19870.85155,29312.17581,0,94591.38771,1,16,8781.1,1599.1,7182,31484.51971,1,0.916667,0.5,8,0
162,38,Bangkok,6,150000,17184.61993,14957.99354,0,52912.21238,1,21,20904.7,19654.1,1250.6,6921.994608,0.5,0.416667,0.25,3,0
163,42,Phuket,6,150000,73038.97866,13957.15133,1,59191.98579,1,171,93211.3,46787.9,46423.4,0,1,1,0,0,0
164,40,Chaingmai,7,150000,35705.97218,536.2807,0,213.11946,0.727273,40,36181.9,28047.9,8134,0,1,0.5,0,0,1
165,22,Phuket,6,150000,19632.99182,21417.64453,1,78203.31303,1,1,800,800,0,6887.349174,0.083333,0,0.25,3,0
166,59,Nakornratchasima,6,150000,183419.5467,31271.92305,1,109155.5075,1,0,0,0,0,138784.9264,0,0,0.583333,23,0
167,38,Phuket,6,150000,85188.45677,15914.16385,1,61872.19303,1,20,20290.3,10442.8,9847.5,35598.75095,0.916667,0.75,0.5,13,0
168,55,Phuket,7,150000,21376.37765,20465.19248,0,82148.60286,1,79,52134.1,23966,28168.1,0,1,0.916667,0,0,0
169,40,Bangkok,6,150000,21149.77167,19426.56647,0,78576.59056,1,142,17605.5,530,17075.5,44510.80739,1,1,0.333333,9,0
170,39,Rayong,6,150000,82926.5306,22969.58624,0,97531.14706,1,131,101996.3,45854.4,56141.9,678.722454,1,1,0.166667,2,0
171,40,Phuket,7,150000,25527.84306,27809.02332,0,101244.7214,1,87,47954.9,20060.2,27894.7,0,1,1,0,0,0
172,22,Phuket,6,150000,112413.9128,169.5009,0,781.14579,0.818182,0,0,0,0,42933.67642,0,0,0.083333,2,0.142857
173,36,Bangkok,7,150000,3753.6099,1356.25973,0,136.49888,0.363636,2,1291.6,1291.6,0,0,0.166667,0,0,0,1
174,48,,6,150000,208732.2194,25226.29723,0,112067.8624,1,25,12577.7,5406.5,7171.2,49773.23272,0.909091,0.636364,0.636364,21,0.090909
175,54,Phuket,6,150000,55281.80381,26187.76868,0,93096.35579,1,87,90076.7,87753.7,2323,0,1,0.25,0,0,0
176,61,Nakornratchasima,4,146000,180910.1347,15133.75079,0,63295.86806,0.714286,0,0,0,0,32939.06506,0,0,0.571429,6,0.25
177,32,Chaingmai,6,145000,15080.16452,13705.19926,0,54316.22968,1,23,18241.6,15985.6,2256,0,1,0.75,0,0,0
178,23,Bangkok,6,145000,34844.29075,1089.37025,0,1509.52465,0.727273,44,64076.7,37253.3,26823.4,0,1,1,0,0,0.3
179,61,Rayong,6,145000,168264.2443,4516.36081,0,25491.28288,1,83,137716.3,45033.1,92683.2,0,1,1,0,0,0.25
180,44,Chaingmai,6,145000,14983.38478,15361.51742,0,69805.81442,1,0,0,0,0,69294.67044,0,0,0.416667,15,0
181,32,Rayong,6,145000,31678.70886,35334.648,0,137747.4154,1,3,4042.4,0,4042.4,20216.84721,0.25,0.25,0.5,7,0
182,32,Bangkok,6,145000,40569.44212,25923.11811,1,101310.0055,1,0,0,0,0,19981.95697,0,0,0.166667,5,0
183,31,Chaingmai,6,145000,25435.50697,1244.65257,0,2930.29263,0.818182,12,30949.7,1850,29099.7,0,0.75,0.666667,0,0,0.666667
184,27,Phuket,6,145000,27014.66431,16900.30475,1,69124.31438,1,12,14839,14839,0,29088.66803,1,0,0.25,4,0
185,41,Chaingmai,6,145000,43930.43928,1885.16174,0,5053.13231,1,74,44717.9,28751.3,15966.6,1788.151452,1,0.916667,0.083333,1,0.833333
186,25,Bangkok,6,145000,10350.287,1796.85335,0,1230.89579,1,81,11507.8,11277.8,230,0,1,0.083333,0,0,0.9
187,40,Bangkok,6,145000,39678.93848,43920.97756,0,114317.8621,1,0,0,0,0,51851.99375,0,0,0.916667,15,0
188,51,,6,145000,258253.2482,29216.28286,0,88095.04736,1,136,253783.6,206460.7,47322.9,0,1,1,0,0,0
189,28,Bangkok,6,145000,4981.65923,863.48345,0,305.25356,0.454545,4,3849.5,3849.5,0,0,0.333333,0,0,0,0.272727
190,50,Chaingmai,6,145000,20349.29239,10642.51367,0,43790.15578,1,27,9966.4,8605,1361.4,21792.82331,0.916667,0.416667,0.333333,4,0
191,25,Rayong,7,145000,94381.80272,19614.13154,0,79856.21826,1,2,1232.4,1232.4,0,47697.57627,0.166667,0,0.666667,32,0
192,35,Bangkok,6,145000,18859.40209,1962.57674,0,1955.75108,1,28,29843.4,27549.2,2294.2,0,1,0.416667,0,0,1
193,33,Chaingmai,7,145000,10928.22745,2036.14145,0,8462.23191,0.545455,1,4376,4376,0,27830.61368,0.083333,0,0.333333,7,0
194,49,Phuket,6,145000,22739.45099,16967.86737,1,74183.14012,1,4,9016.2,8588.2,428,0,0.333333,0.166667,0,0,0
196,24,Nakornratchasima,6,145000,203432.8681,19661.91831,1,59685.83246,1,87,223819.7,191500.2,32319.5,0,1,0.583333,0,0,0
197,48,Rayong,7,145000,121246.3957,19234.72385,0,56067.78018,1,6,2838.8,1248.8,1590,21827.14385,0.416667,0.166667,0.333333,10,0.083333
198,29,Chaingmai,7,145000,8046.16908,7711.33373,0,32185.1979,1,0,0,0,0,8011.822878,0,0,0.583333,13,0
199,35,Phuket,6,145000,25804.7736,29028.19273,0,99933.52521,1,0,0,0,0,19797.99346,0,0,0.5,10,0
200,72,Rayong,7,145000,138938.6739,25297.13215,0,90617.87692,1,0,0,0,0,34037.52586,0,0,0.5,13,0.083333
201,32,Bangkok,7,140000,46395.13745,31923.06018,0,119720.1104,1,90,57150,46855.4,10294.6,9758.108196,1,1,0.166667,3,0
202,53,Phuket,6,140000,47209.00413,25570.44576,0,83501.45568,1,8,19892.8,8428,11464.8,5362.547418,0.333333,0.166667,0.083333,2,0
203,38,Bangkok,6,140000,12804.73571,1933.69942,0,1562.78339,1,21,13851,10051,3800,0,1,0.75,0,0,0.833333
204,46,Chaingmai,6,140000,40037.82858,1971.86568,0,3613.19366,1,32,30959.6,13835.6,17124,0,1,0.833333,0,0,0.583333
