id,date,price,zipcode,lat,long,bedrooms,bathrooms,living_area,land_area,living_area17,land_area17,area_above,area_under,floors,waterfront,viewed,condition,grade,yr_built,yr_renovated
3347,20160923,617000,30007,37.6176,102.14,3,2.5,1910,4488,1530,3696,1910,0,2,0,0,3,8,1998,0
3382,20160630,635000,30034,37.7277,102.207,3,2.5,3350,4007,2340,4167,2550,800,2,0,0,3,8,2005,0
3431,20170428,872750,30052,37.6944,102.102,3,2.5,2870,13695,2840,8472,2870,0,2,0,0,3,10,1991,0
3481,20170312,843000,30052,37.6954,102.103,3,2.5,3130,8750,2860,9003,3130,0,2,0,0,3,10,1991,0
3451,20160617,837700,30052,37.696,102.102,5,2.75,3010,12611,2890,9456,3010,0,2,0,0,3,10,1994,0
3401,20161121,715000,30052,37.6971,102.101,3,3.25,3060,9055,2990,9598,2460,600,2,0,0,3,10,1994,0
3421,20160902,795000,30052,37.6968,102.102,3,3.5,3190,10223,3120,9735,2560,630,2,0,0,3,10,1994,0
3403,20160905,835000,30052,37.6993,102.102,4,2.75,3130,13412,2260,9984,2140,990,2,0,0,3,9,1993,0
3393,20160519,755000,30052,37.6972,102.104,4,2.5,2660,10452,2890,9025,2660,0,2,0,0,3,9,1993,0
3424,20160624,640000,30052,37.6993,102.115,4,2.5,2341,9594,2850,9421,2341,0,2,0,0,3,9,1997,0
3394,20161015,750000,30052,37.6989,102.111,4,2.5,3020,13122,3020,10873,2540,480,2,0,0,3,9,1997,0
3464,20161229,738000,30052,37.6972,102.116,3,2.5,2620,9112,2620,9067,2620,0,2,0,0,3,9,1995,0
3434,20160801,810000,30052,37.6979,102.112,4,2.75,3010,10450,3010,10530,3010,0,2,0,0,3,9,1996,0
3490,20160509,254000,30042,37.3755,102.136,3,2.5,1850,4597,2210,5000,1850,0,2,0,0,3,8,2003,0
3621,20170305,130000,30108,37.5231,102.332,3,1,1100,5100,1450,5100,1100,0,1,0,0,4,7,1913,0
3701,20161014,319500,30108,37.523,102.332,4,2.75,2500,5100,1430,5100,1420,1080,1.5,0,0,4,7,1907,0
3697,20160902,207000,30108,37.5245,102.33,3,2.5,1520,2550,1460,2550,1520,0,2,0,0,3,7,2005,0
3666,20170318,205000,30108,37.5211,102.33,2,1.75,1740,5100,1440,5100,580,1160,1,0,0,3,6,1915,0
3701,20160707,295000,30108,37.5215,102.33,3,1.5,1640,7222,1240,5100,1640,0,2,0,0,4,7,1908,0
4015,20170417,219950,30002,37.3115,102.209,3,1.5,1070,6601,1030,6614,1070,0,1,0,0,3,6,1985,0
4000,20161024,250000,30002,37.311,102.21,3,2.25,1640,4420,1230,6632,1640,0,2,0,0,4,7,1918,1983
4097,20161205,189000,30002,37.3089,102.21,2,1,1200,9850,1060,5095,1200,0,1,0,0,4,7,1921,0
4035,20170316,218500,30002,37.3098,102.21,2,1,1600,8961,1502,6798,1390,210,1,0,0,4,7,1949,0
4045,20170312,250000,30002,37.3098,102.209,4,1,1320,11212,1060,6766,1320,0,1,0,0,5,6,1914,0
4928,20160505,570000,30052,37.6912,102.115,3,2.25,2010,6000,2080,8260,1330,680,1,0,0,3,8,1975,0
4938,20161008,515000,30052,37.6913,102.115,4,2.25,2470,7800,2050,8050,1470,1000,1,0,0,3,8,1975,0
4868,20161015,550120,30052,37.6919,102.115,5,2.5,2620,8050,2030,7676,1520,1100,1,0,0,3,8,1975,0
4940,20170316,490000,30052,37.6975,102.12,3,1.75,1470,9750,1800,9600,1470,0,1,0,0,4,7,1978,0
4930,20160909,539000,30052,37.6989,102.12,3,1.75,1790,9860,1820,9555,1410,380,1,0,0,4,7,1978,0
5633,20160911,1.49E+06,30040,37.5738,102.215,5,3.5,3620,7821,2690,9757,2790,830,2,0,2,3,10,1958,2010
5606,20170319,1.04E+06,30040,37.5709,102.214,5,2.75,3050,8904,2920,8904,1650,1400,1,0,0,4,8,1956,0
5836,20160618,343566,30136,37.5312,102.392,2,1,1100,4200,1240,4000,1100,0,1,0,0,3,7,1954,0
5891,20160919,590000,30136,37.5289,102.391,3,2,3030,9374,1990,6012,2100,930,1,0,1,4,7,1959,0
5835,20170410,480000,30136,37.5305,102.391,5,2.25,2240,5500,2010,6050,1490,750,1,0,0,3,7,1959,0
5871,20170423,573300,30136,37.531,102.39,2,1.75,1290,6600,2380,7370,870,420,1,0,2,3,7,1951,0
5896,20170325,699950,30136,37.53,102.388,3,3.25,2230,5460,2070,5600,1430,800,1,0,1,4,8,1977,0
6118,20160814,446450,30126,37.5144,102.379,3,1.5,1480,7749,1140,5320,1480,0,1,0,0,5,7,1960,0
6118,20170214,325000,30146,37.5141,102.377,2,1,1130,5070,860,6300,1130,0,1,0,0,4,7,1955,0
6353,20161015,221900,30168,37.4733,102.281,2,1,780,6727,1860,10124,780,0,1,0,0,3,6,1939,0
6360,20170414,380000,30168,37.4726,102.282,5,2.5,2130,8428,1500,11810,2130,0,2,0,0,3,7,2013,0
6387,20160506,78000,30168,37.4739,102.28,2,1,780,16344,1700,10387,780,0,1,0,0,1,5,1942,0
6396,20160604,170000,30168,37.4727,102.281,2,1,1500,18540,1700,9355,1500,0,1,0,0,3,8,1950,0
6378,20170304,250000,30168,37.4724,102.271,2,1,1400,19570,2250,6500,1100,300,1.5,0,0,3,6,1929,0
6394,20170319,499950,30168,37.4714,102.273,4,2.5,2910,20067,1730,21420,2910,0,2,0,0,3,9,2001,0
6390,20160529,250000,30168,37.4711,102.291,2,1,1110,26051,2240,12255,1110,0,1,0,0,3,6,1951,0
6457,20160815,130000,30188,37.4672,102.291,2,1,880,9000,1410,10000,880,0,1,0,0,3,5,1928,0
6487,20160910,235000,30168,37.4702,102.281,5,1,1500,9282,1520,9639,1500,0,1.5,0,0,5,6,1966,0
6546,20170305,355000,30188,37.4689,102.277,2,1,1450,9150,1440,10636,1450,0,1,0,0,4,7,1965,0
6508,20170224,406500,30168,37.4703,102.276,3,1.5,1970,10080,2240,10080,1970,0,1,0,0,3,7,1966,0
6511,20160924,600000,30168,37.4702,102.275,5,4.5,4440,9784,2720,10080,4440,0,2,0,0,3,10,2012,0
6526,20160613,171000,30188,37.4683,102.281,4,2,1520,19672,1810,7840,1020,500,1,0,0,3,6,1920,0
6794,20170221,1.51E+06,30040,37.5673,102.21,5,3,3300,33474,3836,20953,1870,1430,1,0,3,3,9,1957,1991
6840,20160630,1.73E+06,30040,37.5665,102.21,5,3.5,5000,26540,3360,17398,3410,1590,2,0,3,3,10,2008,0
6794,20160617,2.03E+06,30040,37.5648,102.21,4,3.75,4100,22798,3880,18730,2540,1560,1.5,0,3,5,11,1934,1979
7051,20170316,350000,30146,37.5088,102.371,2,1.75,1430,7921,1290,8040,1430,0,1,0,0,3,7,1983,0
7126,20161205,372000,30059,37.5142,102.163,4,1.5,1780,7914,1350,8069,1780,0,1.5,0,0,4,7,1962,0
7182,20160811,398950,30042,37.3684,102.073,4,3,3000,10297,2520,8366,3000,0,2,0,0,3,8,2003,0
7112,20170212,363000,30042,37.3673,102.072,4,2.5,2180,9281,2520,9520,2180,0,2,0,0,3,8,2004,0
7278,20161103,495000,30109,37.6302,102.344,3,3.5,1650,1577,1580,1280,1100,550,2,0,0,3,7,2012,0
7334,20170114,248000,30042,37.342,102.059,3,2.5,1870,4046,2130,4800,1870,0,2,0,0,3,7,2007,0
7364,20170309,311850,30042,37.343,102.056,4,2.5,1890,4158,2720,4549,1890,0,2,0,0,3,8,2014,0
7374,20161208,287000,30042,37.3414,102.055,4,2.5,2660,4082,2390,4876,2660,0,2,0,0,3,7,2010,0
7578,20160626,805000,30116,37.5773,102.406,3,2.75,2600,5875,2260,5492,1600,1000,1.5,0,2,5,8,1929,0
7682,20170505,611206,30116,37.5782,102.4,1,1,1940,6300,2560,6300,1940,0,1,0,3,3,8,1963,0
7731,20161203,720000,30116,37.5787,102.402,3,1.5,2180,5000,2070,5000,1090,1090,1,0,3,4,8,1941,0
7726,20160923,590000,30116,37.5785,102.402,4,2.75,2240,5400,1830,5000,1540,700,2,0,0,4,7,1940,0
7764,20161216,324900,30032,37.3585,102.286,4,2.25,2010,7280,1660,7579,2010,0,2,0,0,4,8,1988,0
8147,20160708,430000,30126,37.5436,102.378,3,2,1550,6039,1330,6042,830,720,1,0,0,5,7,1942,0
8072,20160626,471000,30126,37.5439,102.379,2,1.75,1240,6417,1800,6417,1240,0,1,0,0,5,7,1924,0
8122,20160820,830000,30126,37.5442,102.38,3,2.5,3370,6550,1500,6550,2840,530,2,0,2,4,8,1912,2001
8062,20161022,570000,30136,37.5446,102.382,4,3,1490,6766,1990,6526,1490,0,1.5,0,1,5,7,1915,0
8194,20170406,315000,30126,37.5486,102.38,2,1,630,6550,1420,6550,630,0,1,0,0,3,5,1918,0
8164,20161120,398000,30126,37.5498,102.381,3,1,1480,6550,1200,6550,1480,0,1.5,0,0,4,6,1925,0
8189,20160807,370000,30126,37.5478,102.381,2,1,820,6550,1640,6550,820,0,1,0,0,3,7,1949,2012
9170,20160507,255000,30146,37.4877,102.335,5,2.25,2060,8632,1010,11680,1030,1030,1,0,0,3,7,1962,0
9210,20161120,190000,30146,37.4864,102.337,3,1.75,1100,9452,1350,9452,1100,0,1,0,0,3,6,1942,0
9200,20160626,225000,30146,37.4851,102.338,3,2,1700,11475,1560,11475,970,730,1,0,0,5,6,1945,0
9333,20170413,275000,30055,37.4552,102.202,4,1.75,1680,19405,2000,12900,1560,120,1,0,0,4,7,1959,0
9340,20160613,129000,30055,37.4492,102.2,2,1,1150,30184,1670,19684,1150,0,1,0,0,3,6,1950,0
9372,20160930,170000,30055,37.4518,102.199,3,0.75,1040,42180,1270,24090,1040,0,1,0,0,2,6,1947,0
9410,20161118,359950,30055,37.4492,102.199,3,2.5,1980,7800,1700,20580,1980,0,2,0,0,3,8,1999,0
9454,20161015,333000,30055,37.457,102.189,4,2,2750,9001,1340,11050,2750,0,1,0,0,3,8,2008,0
9472,20170414,212000,30055,37.4562,102.193,3,1,1000,9450,1300,13500,1000,0,1,0,0,3,6,1962,0
9471,20160714,252000,30055,37.4562,102.196,3,1,1170,9730,1680,10125,1170,0,1,0,0,3,7,1968,1986
9574,20170507,750000,30103,37.6857,102.353,4,1.5,2060,4000,1160,4000,1580,480,1.5,0,2,3,7,1920,1990
9559,20160923,393000,30103,37.6858,102.352,2,1,980,3350,1260,4000,980,0,1,0,0,4,7,1925,0
9919,20160729,800000,30006,37.5424,102.12,4,2.5,2930,5000,3230,5778,2760,170,2,0,0,3,9,2007,0
9959,20160714,1.06E+06,30075,37.5852,101.966,4,4,5320,20041,4640,17268,5320,0,2,0,0,3,11,2003,0
9930,20170324,1.43E+06,30075,37.587,101.966,4,5,4630,24054,4630,17584,4630,0,2,0,3,3,11,2005,0
9950,20170102,1.47E+06,30075,37.5874,101.965,4,4,4930,22093,4630,18889,4930,0,2,0,3,3,12,2004,0
9960,20160816,959900,30075,37.5888,101.971,4,3.75,3550,15151,4340,15151,3550,0,2,0,0,3,11,2004,0
9940,20170401,945000,30075,37.5848,101.969,5,3.5,4380,14925,4310,14633,4380,0,2,0,0,3,11,2003,0
9950,20161021,1.17E+06,30075,37.5869,101.967,5,3.75,4220,15959,4630,16531,4220,0,2,0,0,3,11,2004,0
9970,20161001,1.06E+06,30075,37.5862,101.97,4,3.5,4460,16271,4540,17122,4460,0,2,0,2,3,11,2001,0
9950,20161210,1.06E+06,30075,37.5871,101.969,4,5.25,4140,14757,4440,15523,4140,0,2,0,2,3,11,2005,0
9960,20160513,1.05E+06,30075,37.5868,101.968,4,3.25,4400,16625,4440,15523,4400,0,2,0,0,3,11,2003,0
9980,20170427,1.10E+06,30075,37.5859,101.968,4,3.5,4570,16219,4700,16500,4570,0,2,0,0,3,11,2002,0
9900,20161007,1.03E+06,30075,37.5863,101.967,5,3.5,5050,16500,4570,16500,5050,0,2,0,2,3,11,2001,0
9970,20160818,1.17E+06,30075,37.5878,101.969,5,4.25,4610,13252,4400,15154,4610,0,2,0,4,3,11,2004,0
9941,20160708,765000,30075,37.5833,101.97,4,4,3010,7221,3490,7518,3010,0,2,0,0,3,10,2004,0
9921,20161030,750000,30075,37.582,101.971,4,2.5,3210,8938,3740,8108,3210,0,2,0,0,3,10,2005,0
9901,20170203,759000,30075,37.5825,101.97,5,2.75,3490,8230,3480,7331,3490,0,2,0,0,3,10,2005,0
9911,20160520,730000,30075,37.5823,101.97,4,2.5,3230,7331,3480,7447,3230,0,2,0,0,3,10,2004,0
9951,20170123,720000,30075,37.5816,101.97,4,4,3200,7708,3480,7944,3200,0,2,0,0,3,10,2004,0
9911,20160721,802500,30075,37.5818,101.972,4,3.75,3320,8030,3740,8030,3320,0,2,0,0,3,10,2005,0
9981,20160828,885000,30075,37.581,101.971,4,2.5,4090,11225,3510,8762,4090,0,2,0,0,3,10,2005,0
9931,20170414,889000,30075,37.5805,101.97,4,3.5,4070,10976,4080,10106,4070,0,2,0,0,3,10,2004,0
9941,20161013,785500,30075,37.5818,101.973,4,4,3280,8448,3730,8030,3280,0,2,0,0,3,10,2007,0
9961,20170212,797000,30075,37.5807,101.972,3,3.5,3500,9473,3510,7833,3500,0,2,0,0,3,10,2008,0
9901,20160711,790000,30075,37.5828,101.972,4,3.5,3560,6098,3660,6846,3560,0,2,0,0,3,10,2006,0
9931,20160610,745000,30075,37.5834,101.972,4,3.25,3490,7024,3450,6866,3490,0,2,0,0,3,10,2006,0
9931,20161215,852500,30075,37.5837,101.971,5,3.75,3830,8131,3570,7290,3830,0,2,0,0,3,10,2005,0
9961,20170311,815000,30075,37.5841,101.971,4,2.5,3880,7208,3280,7221,3880,0,2,0,0,3,10,2006,0
9945,20170428,1.46E+06,30024,37.5885,101.939,4,4,4620,130208,4620,131007,4620,0,2,0,0,3,10,2014,0
10055,20161112,275000,30155,37.7748,102.304,3,1,1320,11090,1320,8319,1320,0,1,0,0,3,7,1955,0
10095,20161020,355000,30059,37.4867,102.152,3,2.25,1430,4777,1639,3854,1430,0,2,0,0,3,7,2010,0
10015,20161121,333000,30059,37.4874,102.152,3,2.5,1520,3041,1820,3229,1520,0,2,0,0,3,7,2009,0
10045,20160925,330000,30059,37.4876,102.153,3,2.5,1520,3003,1820,3030,1520,0,2,0,0,3,7,2009,0
10045,20160911,250000,30003,37.2827,102.302,3,2.5,1610,6600,1660,7689,1610,0,2,0,0,3,7,1994,0
10050,20160813,213950,30023,37.3018,102.369,3,1,1430,7000,1050,7700,1430,0,1,0,0,3,6,1968,0
10080,20160804,226500,30023,37.3025,102.37,3,1.5,1300,7370,1430,7500,900,400,1,0,0,4,7,1976,0
10090,20170324,237500,30023,37.3011,102.369,3,1.75,1050,7854,1360,7668,1050,0,1,0,0,4,7,1975,0
10165,20160722,645000,30115,37.6733,102.301,3,1.75,2070,5500,1800,4400,1130,940,1,0,0,4,7,1946,0
10229,20160515,263000,30003,37.2857,102.3,3,2.25,1590,7748,1590,7606,1590,0,2,0,0,4,7,1991,0
10253,20170224,115000,30023,37.3141,102.355,3,1.75,1080,7942,1380,8244,1080,0,1,0,0,3,7,1981,0
10263,20161003,249900,30023,37.3127,102.354,4,2,1500,7854,1500,7334,1500,0,1.5,0,0,3,7,1983,0
10303,20170211,230000,30023,37.3124,102.352,3,2.25,1500,7210,1500,7210,1150,350,1,0,0,3,7,1984,0
10253,20161119,252000,30023,37.3128,102.351,3,2,1540,7210,1500,7210,1540,0,2,0,0,4,7,1984,0
10263,20160925,276200,30023,37.3124,102.351,3,2.5,1480,7210,1690,7396,1180,300,1,0,0,3,7,1986,0
10263,20160604,219950,30023,37.3146,102.351,3,2.25,1500,7615,1540,8649,1150,350,1,0,0,3,7,1984,0
10234,20161008,268000,30023,37.3103,102.36,3,2.5,1850,6676,1700,6663,1850,0,2,0,0,3,7,1986,0
10264,20160827,225000,30023,37.3096,102.357,3,2,1320,5665,1336,7080,1320,0,1,0,0,3,7,1986,0
10314,20160516,248000,30023,37.3087,102.354,4,3.5,1850,6519,1280,6664,1130,720,2,0,0,3,7,1986,0
10245,20160812,221000,30023,37.3116,102.358,3,2.25,1430,5999,1600,5999,1430,0,2,0,0,3,7,1987,0
10265,20161203,240000,30023,37.3113,102.358,3,2.25,1460,5818,1490,6031,1140,320,1,0,0,3,7,1986,0
10245,20170330,270000,30023,37.3082,102.358,4,2.5,1750,6397,1940,6502,1750,0,2,0,0,3,7,1988,0
10265,20170120,259950,30023,37.3085,102.358,4,2,1610,6650,1960,6650,1610,0,1,0,0,3,7,1989,0
10305,20160520,260000,30023,37.3078,102.358,4,2.5,1990,6671,1862,6566,1990,0,2,0,0,3,7,1989,0
10285,20160728,275000,30023,37.3065,102.358,3,2.5,1870,6821,1970,6821,1870,0,2,0,0,3,7,1989,0
10315,20160725,282000,30023,37.3061,102.359,4,2.75,2390,7330,1980,6735,2390,0,2,0,0,3,7,1989,0
10265,20161201,299000,30023,37.3061,102.36,3,2.5,2450,7062,1960,7200,2450,0,2,0,0,3,8,1993,0
10275,20160728,241000,30023,37.3061,102.361,3,2,1520,7131,1890,7379,1520,0,1,0,0,3,8,1993,0
10235,20160610,278500,30023,37.3063,102.359,4,2.5,1940,6206,2060,7092,1940,0,2,0,0,3,7,1990,0
10245,20160718,304400,30023,37.3075,102.359,4,2.75,2140,8100,1960,7002,2140,0,2,0,0,4,7,1990,0
10305,20160522,273000,30023,37.3083,102.36,4,3,1990,6180,1910,6180,1990,0,2,0,0,3,7,1990,0
10265,20160917,310000,30023,37.3071,102.36,4,2.75,2370,7320,1960,7320,2370,0,2,0,0,3,7,1989,0
10311,20160619,435000,30117,37.701,102.368,3,1.75,1310,8065,1420,8100,1310,0,1,0,0,4,6,1948,0
10340,20160826,399950,30177,37.7013,102.368,3,1,1470,7930,1440,8100,1070,400,1,0,0,3,7,1950,0
10316,20161031,401000,30177,37.7019,102.366,2,1,840,8100,1100,8220,840,0,1,0,0,4,7,1948,0
10391,20160624,405000,30177,37.704,102.367,3,1,1410,8053,1170,8042,1410,0,1,0,0,4,7,1951,0
10419,20161209,456500,30177,37.7027,102.361,4,3.5,2000,2309,1440,1548,2000,0,3,0,0,3,8,2008,0
10480,20170316,305000,30155,37.7755,102.299,3,1.75,1460,7862,2200,9293,1460,0,1,0,0,3,7,1965,0
10490,20170506,299000,30023,37.2979,102.371,4,2.5,2300,8100,1910,7630,1360,940,1,0,0,4,8,1979,0
10540,20160820,245000,30023,37.2977,102.367,3,1.75,1480,3900,1830,6956,1480,0,1,0,0,4,7,1980,0
10540,20161020,250000,30023,37.2977,102.367,3,1.75,1480,3900,1830,6956,1480,0,1,0,0,4,7,1980,0
10480,20160506,218000,30023,37.2975,102.37,3,1.75,1850,7684,1940,7630,1320,530,1,0,0,3,8,1979,0
10530,20161111,220000,30023,37.2957,102.37,4,2.25,1950,7280,1910,7280,1950,0,2,0,0,4,8,1979,0
10510,20161029,270000,30023,37.2958,102.368,3,2,2330,8000,1570,7227,1390,940,1,0,0,3,7,1986,0
10528,20170317,278000,30032,37.3712,102.289,5,1.5,1820,8712,1820,8712,1090,730,1,0,0,5,7,1960,0
10626,20170209,146000,30168,37.4816,102.322,2,1,780,9750,1670,9750,780,0,1,0,0,3,6,1937,0
10645,20160701,300000,30019,37.7362,101.967,3,2.25,1660,5128,1680,4652,1660,0,2,0,0,3,7,2001,0
10635,20160903,345000,30019,37.736,101.965,3,2.5,1620,5992,1620,4644,1620,0,2,0,0,3,7,2001,0
10713,20170114,559950,30028,37.7721,102.241,5,3.5,2450,8193,2310,8193,2450,0,2,0,0,3,9,2005,0
10737,20160627,355000,30028,37.7689,102.241,2,2.25,1330,10838,1390,10310,1330,0,2,0,0,3,8,1985,0
10716,20170430,402500,30028,37.7668,102.243,3,2.25,2160,9540,1720,12593,2160,0,2,0,0,3,8,1979,0
10779,20160922,400000,30028,37.7769,102.25,3,1.75,1560,8456,2230,13109,1560,0,1,0,0,5,7,1970,0
10686,20161203,515000,30028,37.776,102.246,4,2.5,2800,21370,1880,9336,2800,0,2,0,0,3,8,2003,0
10696,20170318,285000,30028,37.7766,102.248,3,1.5,1480,7117,2230,14775,1170,310,1,0,0,3,7,1960,0
10736,20161212,249000,30028,37.7743,102.26,3,1,1090,10296,1910,10296,1090,0,1,0,0,4,6,1950,0
10727,20160506,475000,30028,37.7663,102.234,6,3,3470,117612,2120,17100,3470,0,1.5,0,0,3,7,1924,0
10740,20161022,420000,30028,37.7642,102.234,2,1,960,112384,1210,24875,960,0,1,0,0,3,7,1955,0
10745,20160728,230000,30028,37.7639,102.234,3,0.75,1040,15000,1410,19000,1040,0,1,0,0,3,6,1941,0
10773,20170403,250000,30028,37.7612,102.234,3,1.5,1170,9848,2220,5542,1170,0,1,0,0,3,7,1963,0
10737,20161223,383000,30028,37.7688,102.238,3,2.5,1720,10031,2280,5845,1720,0,2,0,0,3,8,1993,0
10743,20160829,480000,30028,37.7592,102.23,3,1.5,2100,67269,1610,15999,1220,880,1,0,0,4,7,1949,0
10708,20160617,375000,30028,37.7595,102.23,3,1.75,1160,22470,1940,15999,1160,0,1,0,0,4,7,1976,0
10682,20170417,325000,30028,37.7572,102.228,4,1.75,1370,9993,1650,11592,1370,0,1,0,0,3,6,1918,0
10687,20170423,630000,30028,37.757,102.228,5,3.5,4060,8309,1730,11711,2960,1100,2,0,0,3,9,2001,0
10698,20160528,310000,30028,37.7558,102.229,3,1,1430,19901,1780,12697,1430,0,1.5,0,0,4,7,1927,0
10722,20160821,415000,30028,37.7552,102.229,3,1,2020,19210,1780,14469,1760,260,1,0,0,3,6,1949,0
10760,20161114,236000,30023,37.2917,102.366,3,1.75,1560,10919,1730,10919,1560,0,1,0,0,3,7,1975,0
10818,20160527,540000,30116,37.5849,102.384,4,4.25,1960,3565,1920,5750,1960,0,2,0,0,3,7,1940,2003
10820,20160919,595000,30116,37.5848,102.384,4,2.25,1920,3225,1960,3750,1300,620,1.5,0,0,5,7,1923,0
10817,20170319,680000,30116,37.5843,102.385,3,1.75,1660,5750,2060,5560,1080,580,1,0,0,4,7,1909,0
11001,20170217,250000,30092,37.2558,102.122,3,1.75,1628,286355,1490,216344,1628,0,1,0,0,3,7,1996,0
10961,20161201,495000,30022,37.2527,101.98,4,3,3620,403693,2230,148811,3620,0,2,0,2,3,9,1980,0
11017,20160804,550000,30022,37.2492,101.975,3,2.5,2920,169448,2360,326097,2920,0,2.5,0,0,3,9,1990,0
11035,20160624,549000,30070,37.3312,102.503,2,1,2034,13392,1156,15961,1159,875,1,1,4,5,7,1947,0
11040,20160819,169000,30023,37.3302,102.36,3,1.5,1470,18459,1750,16074,1470,0,2,0,0,4,6,1916,0
11044,20170313,425000,30023,37.3351,102.362,3,2.75,3610,107386,2630,42126,3130,480,1.5,1,3,3,8,1918,1962
11085,20170206,629000,30023,37.3311,102.375,3,1.75,1460,12367,1970,18893,1120,340,2,1,4,4,8,1970,0
11058,20170109,249000,30023,37.3343,102.362,3,1,1030,24750,2810,28800,1030,0,1,0,2,3,5,1943,0
11010,20160808,210000,30042,37.3375,102.123,4,1,1200,43560,1400,54450,1200,0,1,0,0,3,5,1968,0
11041,20170324,397900,30042,37.3414,102.117,3,2.75,2500,35245,2060,153766,1580,920,1,0,0,3,7,2000,0
11050,20161104,392000,30042,37.3412,102.108,4,2.5,2300,41167,2300,21765,2300,0,2,0,0,3,7,1988,0
11113,20170508,490000,30070,37.4189,102.499,3,1.75,2020,215622,1810,215622,2020,0,2,0,0,4,7,1975,0
11055,20161204,427500,30038,37.4199,101.99,3,1.5,1900,43186,2080,108028,1300,600,1.5,0,0,4,7,1971,0
11101,20160930,520000,30107,37.6733,102.37,2,1,910,5000,1050,5000,910,0,1,0,0,3,7,1924,0
11120,20160904,325000,30106,37.5166,102.361,4,1,1400,9384,1600,8432,1400,0,1.5,0,0,4,6,1948,0
11139,20170319,464950,30146,37.5106,102.365,3,2,2190,19800,1640,9719,2190,0,1,0,0,3,7,1994,0
11168,20161212,399888,30146,37.5108,102.366,4,1,2370,30200,1640,9719,1570,800,1.5,0,0,4,7,1948,0
11099,20161209,283000,30106,37.5145,102.365,4,2,2100,8160,1140,8160,1200,900,1,0,0,3,7,1959,0
11171,20160711,165000,30106,37.515,102.359,2,1,640,7768,840,7424,640,0,1,0,0,3,6,1942,0
11105,20170410,425000,30126,37.5153,102.37,4,2.5,1920,9000,1530,10474,1920,0,2,0,0,2,7,1989,0
11125,20160609,240000,30106,37.5151,102.366,4,1,1910,16320,1380,9000,1910,0,1.5,0,0,3,6,1934,0
11128,20160611,148000,30106,37.5138,102.364,1,1,620,8261,1180,8244,620,0,1,0,0,3,5,1939,0
11128,20161208,244900,30106,37.5138,102.364,1,1,620,8261,1180,8244,620,0,1,0,0,3,5,1939,0
11138,20170430,335000,30146,37.5114,102.361,3,1.75,1260,17000,1540,7213,1260,0,1,0,0,3,7,1994,0
11156,20160521,300000,30106,37.515,102.362,2,1,970,13700,1570,10880,970,0,1,0,0,3,6,1949,0
11168,20160820,535000,30146,37.5117,102.365,4,2.75,2360,15100,1440,13346,2360,0,1,0,0,3,8,2014,0
11112,20170428,309000,30146,37.5063,102.369,3,1,1300,7200,1740,7100,1300,0,1,0,0,4,7,1952,0
11116,20160710,303000,30146,37.5073,102.372,2,2,970,9750,1850,9000,970,0,1,0,0,5,6,1940,0
